date;produit;categorie;prix_unitaire;quantite;region;vendeur;note_client
05/01/2024;Laptop Pro;Informatique;1299,99;3;Nord;Alice;4,50
08/01/2024;Souris Sans Fil;Informatique;29,99;15;Sud;Bob;4,20
12/01/2024;Bureau Ergonomique;Mobilier;349,99;2;Est;Alice;4,80
15/01/2024;Chaise Gaming;Mobilier;199,99;5;Ouest;Clara;3,90
18/01/2024;Ecran 4K;Informatique;599,99;4;Nord;Bob;4,60
22/01/2024;Clavier Mecanique;Informatique;89,99;8;Sud;Clara;4,30
25/01/2024;Lampe Bureau;Mobilier;49,99;12;Est;Alice;4,10
02/02/2024;Laptop Pro;Informatique;1299,99;2;Ouest;Bob;4,70
05/02/2024;Webcam HD;Informatique;79,99;10;Nord;Clara;4,00
08/02/2024;Tapis de Souris;Informatique;19,99;20;Sud;Alice;3,80
12/02/2024;Etagere;Mobilier;129,99;3;Est;Bob;4,40
15/02/2024;Casque Audio;Informatique;149,99;6;Ouest;Clara;4,90
19/02/2024;Bureau Ergonomique;Mobilier;349,99;1;Nord;Alice;4,80
22/02/2024;Ecran 4K;Informatique;599,99;2;Sud;Bob;4,50
26/02/2024;Chaise Gaming;Mobilier;199,99;4;Est;Clara;4,20
01/03/2024;Laptop Pro;Informatique;1299,99;5;Ouest;Alice;4,60
04/03/2024;Clavier Mecanique;Informatique;89,99;7;Nord;Bob;4,10
08/03/2024;Lampe Bureau;Mobilier;49,99;9;Sud;Clara;3,70
12/03/2024;Webcam HD;Informatique;79,99;6;Est;Alice;4,30
15/03/2024;Souris Sans Fil;Informatique;29,99;18;Ouest;Bob;4,00
19/03/2024;Casque Audio;Informatique;149,99;4;Nord;Clara;4,80
22/03/2024;Etagere;Mobilier;129,99;5;Sud;Alice;4,50
26/03/2024;Bureau Ergonomique;Mobilier;349,99;3;Est;Bob;4,70
29/03/2024;Tapis de Souris;Informatique;19,99;25;Ouest;Clara;3,90
